Date,Open,High,Low,Close,Adj Close,Volume
21/09/2012,9.85,10.09,9.8,9.82,9.528357,66200
24/09/2012,9.83,10.07,9.61,9.9,9.60598,44500
25/09/2012,9.93,9.99,9.57,9.58,9.295483,54400
26/09/2012,9.63,9.72,9.55,9.59,9.305186,29100
27/09/2012,9.6,9.71,9.44,9.57,9.28578,55300
28/09/2012,9.55,9.89,9.49,9.67,9.382811,26600
01/10/2012,9.73,9.88,9.32,9.55,9.266374,34000
02/10/2012,9.61,9.76,9.44,9.52,9.237267,19000
03/10/2012,9.5,9.51,9.26,9.28,9.004395,83700
04/10/2012,9.36,9.73,9.36,9.64,9.353702,46300
05/10/2012,9.69,9.73,9.52,9.54,9.256671,23700
08/10/2012,9.54,9.54,9.34,9.41,9.130532,80100
09/10/2012,9.41,9.58,9.4,9.49,9.208157,13800
10/10/2012,9.53,9.6,9.49,9.51,9.227561,23700
11/10/2012,9.59,9.7,9.55,9.67,9.382811,11800
12/10/2012,9.65,9.79,9.6,9.7,9.411921,92900
15/10/2012,9.74,9.89,9.67,9.89,9.596277,21400
16/10/2012,9.89,9.92,9.77,9.9,9.60598,16200
17/10/2012,9.94,10.33,9.74,10.32,10.013507,62900
18/10/2012,10.35,10.36,10.15,10.27,9.964993,19900
19/10/2012,10.19,10.19,9.72,9.97,9.673902,49300
22/10/2012,10.37,10.63,10.25,10.43,10.120242,72400
23/10/2012,10.4,10.58,10.1,10.13,9.829149,26400
24/10/2012,10.18,10.79,10.06,10.78,10.459845,90700
25/10/2012,10.87,10.97,10.74,10.97,10.644202,30500
26/10/2012,10.94,10.94,10.55,10.59,10.275486,30400
31/10/2012,10.56,10.87,10.5,10.63,10.314299,45900
01/11/2012,10.71,11.41,10.59,11.22,10.886778,66400
02/11/2012,11.22,11.22,10.83,10.85,10.527766,38600
05/11/2012,10.99,11.4,10.86,11.27,10.935293,48600
06/11/2012,11.27,11.44,11.14,11.43,11.09054,28200
07/11/2012,11.42,11.42,11.02,11.03,10.70242,44600
08/11/2012,11.02,11.32,10.85,10.85,10.551683,35200
09/11/2012,10.85,10.87,10.72,10.84,10.541954,25900
12/11/2012,10.95,11,10.78,10.88,10.580857,64300
13/11/2012,10.85,11.08,10.77,10.92,10.619759,32200
14/11/2012,10.95,11.07,10.73,10.8,10.503057,35100
15/11/2012,10.72,10.85,10.62,10.66,10.366907,61900
16/11/2012,10.58,10.98,10.57,10.92,10.619759,54800
19/11/2012,11.04,11.2,10.92,11.2,10.892057,34800
20/11/2012,11.22,11.22,10.67,11.08,10.775357,30100
21/11/2012,11.09,11.2,11,11.16,10.853157,12600
23/11/2012,11.2,11.26,11.12,11.21,10.901783,13400
26/11/2012,11.21,11.22,11,11.06,10.755909,34800
27/11/2012,11.1,11.13,10.83,10.86,10.561406,64900
28/11/2012,10.84,10.9,10.47,10.88,10.580857,43800
29/11/2012,10.97,11.19,10.61,11.11,10.804534,37300
30/11/2012,11.15,11.15,10.9,11.11,10.804534,31400
03/12/2012,11.22,11.23,10.77,11.14,10.833708,47700
04/12/2012,11.16,11.2,10.99,11.17,10.862885,14800
05/12/2012,11.18,11.19,11.06,11.07,10.765635,34100
06/12/2012,11.1,11.12,11,11.12,10.814259,41400
07/12/2012,11.18,11.18,11.01,11.14,10.833708,16900
10/12/2012,11.13,11.2,11.07,11.19,10.882335,37200
11/12/2012,11.2,11.39,11.1,11.35,11.037934,85600
12/12/2012,11.36,11.44,11.28,11.29,10.979585,22800
13/12/2012,11.28,11.36,11.11,11.24,10.930959,49300
14/12/2012,11.21,11.42,11.19,11.42,11.106009,26900
17/12/2012,11.47,11.5,11.43,11.5,11.183808,46200
18/12/2012,11.49,11.8,11.46,11.79,11.465836,28700
19/12/2012,11.92,11.99,11.85,11.91,11.58254,32100
20/12/2012,11.86,11.9,11.35,11.87,11.543636,42600
21/12/2012,11.75,11.81,11.46,11.56,11.242158,121800
24/12/2012,11.52,11.52,11.5,11.52,11.203259,21000
26/12/2012,11.48,11.62,11.33,11.43,11.115735,34200
27/12/2012,11.39,11.56,11.38,11.53,11.212986,24900
28/12/2012,11.5,11.85,11.5,11.65,11.329687,40400
31/12/2012,11.65,11.89,11.48,11.87,11.543636,62900
02/01/2013,11.91,13.52,11.9,13.45,13.080194,208100
03/01/2013,13.55,13.59,12.87,12.9,12.54532,106000
04/01/2013,12.99,13.25,12.48,13.22,12.85652,54800
07/01/2013,13.15,13.22,13,13.05,12.691195,33300
08/01/2013,13.05,13.25,12.96,13,12.642569,31700
09/01/2013,13,13.25,12.9,12.92,12.564769,37000
10/01/2013,13.08,13.09,12.95,12.98,12.623116,17200
11/01/2013,12.99,13.05,12.9,12.9,12.54532,20300
14/01/2013,12.88,13.15,12.88,13.06,12.70092,51900
15/01/2013,12.95,13.1,12.89,13.08,12.720367,23400
16/01/2013,13.08,13.1,12.96,13.07,12.710643,18700
17/01/2013,13.09,13.25,13.04,13.15,12.788443,47200
18/01/2013,13.1,13.96,13.1,13.85,13.469198,49200
22/01/2013,13.88,13.97,13.59,13.96,13.576171,37800
23/01/2013,13.85,14.57,13.85,14.33,13.935999,43000
24/01/2013,14.4,14.4,13.31,13.66,13.284422,70200
25/01/2013,13.67,13.72,13.1,13.66,13.284422,58900
28/01/2013,13.64,13.72,13.4,13.59,13.216345,62200
29/01/2013,13.57,14.03,13.5,14.02,13.634524,39600
30/01/2013,14,14.1,13.75,13.85,13.469198,59400
31/01/2013,13.87,14.08,13.65,13.98,13.595623,68900
01/02/2013,14.09,14.25,13.95,14.04,13.653975,40600
04/02/2013,13.94,14.27,13.85,13.95,13.566447,49200
05/02/2013,14.09,14.35,14,14.24,13.848475,47000
06/02/2013,14.19,14.85,14.19,14.59,14.188851,45000
07/02/2013,14.69,14.74,14.51,14.67,14.266651,57700
08/02/2013,14.67,14.74,14.6,14.72,14.315278,28900
11/02/2013,14.73,14.73,14.22,14.35,13.979193,48200
12/02/2013,14.32,14.86,14.32,14.81,14.427307,49300
13/02/2013,14.9,15.19,14.81,15.18,14.787744,52500
14/02/2013,15.09,15.28,14.98,15.24,14.846193,37200
15/02/2013,15.3,15.73,15.25,15.67,15.265084,83700
19/02/2013,15.7,16.459999,15.7,16.280001,15.859319,234600
20/02/2013,16.34,16.379999,15.4,15.41,15.011798,151400
21/02/2013,15.38,15.64,15,15.39,14.992318,64800
22/02/2013,15.58,16.379999,15.49,16.33,15.908031,104100
25/02/2013,16.530001,16.82,16.379999,16.450001,16.024931,152000
26/02/2013,16.75,17.15,16.4,16.99,16.550976,195700
27/02/2013,17.24,17.83,17.040001,17.620001,17.164696,205100
28/02/2013,17.639999,18.41,17.639999,18.200001,17.72971,141900
01/03/2013,18.049999,18.23,17.799999,17.959999,17.495911,185300
04/03/2013,18.16,18.41,18.02,18.35,17.875834,178400
05/03/2013,18.52,19.209999,18.52,18.91,18.421358,192200
06/03/2013,19.110001,19.26,18.549999,19.09,18.596708,174500
07/03/2013,19.200001,19.790001,19.120001,19.4,18.898699,235000
08/03/2013,20,20,19.209999,19.4,18.898699,292900
11/03/2013,19.540001,19.74,19,19.4,18.898699,199200
12/03/2013,19.41,19.620001,19.27,19.4,18.898699,174400
13/03/2013,19.540001,19.540001,19.18,19.33,18.830507,131500
14/03/2013,19.32,19.67,19,19.610001,19.103271,248400
15/03/2013,19.65,19.65,19.18,19.25,18.752569,445400
18/03/2013,19.01,19.549999,18.209999,19.42,18.91818,245500
19/03/2013,19.459999,19.92,19.26,19.610001,19.103271,189800
20/03/2013,19.75,20.57,19.67,20.52,19.989759,212500
21/03/2013,20.200001,20.709999,20.200001,20.379999,19.853374,216400
22/03/2013,20.389999,20.6,20.1,20.15,19.62932,199500
25/03/2013,20.459999,20.870001,20.299999,20.76,20.223553,237200
26/03/2013,20.93,21,20.66,20.969999,20.428129,180500
27/03/2013,20.99,21.49,20.809999,21.120001,20.574253,217800
28/03/2013,21.35,21.5,21.110001,21.25,20.700895,198300
01/04/2013,21.58,21.74,21.309999,21.42,20.866503,216300
02/04/2013,21.540001,21.65,21.309999,21.49,20.934692,197500
03/04/2013,21.65,21.65,20.209999,20.35,19.824152,210900
04/04/2013,20.43,21.559999,20.059999,21.440001,20.885984,215600
05/04/2013,21.030001,21.299999,20.6,20.790001,20.252779,178800
08/04/2013,20.969999,21.209999,20.85,21.01,20.467098,133000
09/04/2013,21.219999,21.75,21.219999,21.5,20.944427,154800
10/04/2013,21.620001,22.32,21.620001,21.629999,21.071072,229600
11/04/2013,21.719999,22.08,21.360001,21.48,20.924953,184100
12/04/2013,21.379999,21.379999,19.93,20.049999,19.5319,241500
15/04/2013,19.83,19.83,17.110001,17.209999,16.765289,846500
